classifier,class,metric,ap_type,point,ci_low,ci_high,method,ci_method
HMM,GPP,roc_auc,pooled_oof,0.8940850402708801,0.8234619782393887,0.9433095263537157,bca,bca
HMM,IDS,ap,pooled_oof,0.9407589482447621,0.8353233425922993,0.9785080922866937,bca,bca
HMM,IDS,roc_auc,pooled_oof,0.9859198206455988,0.933959586645008,0.9998245705686596,bca,bca
HMM,Substrate_mAP,ap,pooled_oof,0.5823173209899457,0.5260279015607556,0.6593387675912882,bca,bca
HMM,Substrate_mAP,roc_auc,pooled_oof,0.9008519921736303,0.8754328524110079,0.9221607368026435,bca,bca
HMM,TPS,ap,pooled_oof,0.9060476214314893,0.8462924357683664,0.9432195234746104,bca,bca
HMM,TPS,roc_auc,pooled_oof,0.9698689618552041,0.9556128626132963,0.9799920368030448,bca,bca
PFAM,TPS,ap,pooled_oof,0.9754149184303245,0.9596420755008597,0.9844540949486498,bca,bca
PFAM,TPS,roc_auc,pooled_oof,0.9885570018998745,0.9811770044619581,0.9925206275952968,bca,bca
SUPFAM,TPS,ap,pooled_oof,0.9305277218051777,0.8650433786065791,0.9549729228887773,bca,bca
SUPFAM,TPS,roc_auc,pooled_oof,0.9810592492663011,0.973195061395139,0.9873635824352367,bca,bca
