version,class,metric,value,x_axis,x_label
eval1e-200,GFPP,ap,0.50509211545165,neglog10,E-value (-log10)
eval1e-200,CPP,ap,0.5147846910534669,neglog10,E-value (-log10)
eval1e-200,EDSQ,ap,0.938984126984127,neglog10,E-value (-log10)
eval1e-200,2xFPP,ap,0.001682559124400016,neglog10,E-value (-log10)
eval1e-200,2xGGPP,ap,0.0015373371520448489,neglog10,E-value (-log10)
eval1e-250,TPS,ap,0.11087269997320803,neglog10,E-value (-log10)
eval1e-250,IDS,ap,0.01573938048779219,neglog10,E-value (-log10)
eval1e-250,GPP,ap,0.026203339698854695,neglog10,E-value (-log10)
eval1e-250,FPP,ap,0.061983279814588864,neglog10,E-value (-log10)
eval1e-250,GGPP,ap,0.24539044759869855,neglog10,E-value (-log10)
eval1e-250,GFPP,ap,0.055637391269244676,neglog10,E-value (-log10)
eval1e-250,CPP,ap,0.38264096465540887,neglog10,E-value (-log10)
eval1e-250,EDSQ,ap,0.672671567636906,neglog10,E-value (-log10)
eval1e-250,2xFPP,ap,0.001682559124400016,neglog10,E-value (-log10)
eval1e-250,2xGGPP,ap,0.0015373371520448489,neglog10,E-value (-log10)
eval1e-3,TPS,ap,0.892353189133746,neglog10,E-value (-log10)
eval1e-3,IDS,ap,0.48809661516393277,neglog10,E-value (-log10)
eval1e-3,GPP,ap,0.3010840133778908,neglog10,E-value (-log10)
eval1e-3,FPP,ap,0.5097257812258282,neglog10,E-value (-log10)
eval1e-3,GGPP,ap,0.19514058318641458,neglog10,E-value (-log10)
eval1e-3,GFPP,ap,0.06813295843281646,neglog10,E-value (-log10)
eval1e-3,CPP,ap,0.10776556855808958,neglog10,E-value (-log10)
eval1e-3,EDSQ,ap,0.9122807017543859,neglog10,E-value (-log10)
eval1e-3,2xFPP,ap,0.8388888888888889,neglog10,E-value (-log10)
eval1e-3,2xGGPP,ap,0.7266666666666667,neglog10,E-value (-log10)
eval1e-30,TPS,ap,0.8531563112780083,neglog10,E-value (-log10)
eval1e-30,IDS,ap,0.9270517715771172,neglog10,E-value (-log10)
eval1e-30,GPP,ap,0.2565467749520538,neglog10,E-value (-log10)
eval1e-30,FPP,ap,0.5355308883327395,neglog10,E-value (-log10)
eval1e-30,GGPP,ap,0.185378962080385,neglog10,E-value (-log10)
eval1e-30,GFPP,ap,0.06225415271596676,neglog10,E-value (-log10)
eval1e-30,CPP,ap,0.09968815899306717,neglog10,E-value (-log10)
eval1e-30,EDSQ,ap,0.9122807017543859,neglog10,E-value (-log10)
eval1e-30,2xFPP,ap,0.4030282351202025,neglog10,E-value (-log10)
eval1e-30,2xGGPP,ap,0.5168366977320344,neglog10,E-value (-log10)
eval1e-300,TPS,ap,0.11087269997320803,neglog10,E-value (-log10)
eval1e-300,IDS,ap,0.01573938048779219,neglog10,E-value (-log10)
eval1e-300,GPP,ap,0.026203339698854695,neglog10,E-value (-log10)
eval1e-300,FPP,ap,0.05245082437147745,neglog10,E-value (-log10)
eval1e-300,GGPP,ap,0.043355379607098954,neglog10,E-value (-log10)
eval1e-300,GFPP,ap,0.005311960848937594,neglog10,E-value (-log10)
eval1e-300,CPP,ap,0.11602750882789521,neglog10,E-value (-log10)
eval1e-300,EDSQ,ap,0.37236722304653885,neglog10,E-value (-log10)
eval1e-300,2xFPP,ap,0.001682559124400016,neglog10,E-value (-log10)
eval1e-300,2xGGPP,ap,0.0015373371520448489,neglog10,E-value (-log10)
eval1e-40,TPS,ap,0.8377793087758709,neglog10,E-value (-log10)
eval1e-40,IDS,ap,0.9546620989064294,neglog10,E-value (-log10)
eval1e-40,GPP,ap,0.25055966927071066,neglog10,E-value (-log10)
eval1e-40,FPP,ap,0.5410962959902912,neglog10,E-value (-log10)
eval1e-40,GGPP,ap,0.17476654687022125,neglog10,E-value (-log10)
eval1e-40,GFPP,ap,0.07982215616791878,neglog10,E-value (-log10)
eval1e-40,CPP,ap,0.09982414573013146,neglog10,E-value (-log10)
eval1e-40,EDSQ,ap,0.9122807017543859,neglog10,E-value (-log10)
eval1e-40,2xFPP,ap,0.4252504573424248,neglog10,E-value (-log10)
eval1e-40,2xGGPP,ap,0.5835893859040775,neglog10,E-value (-log10)
eval1e-5,TPS,ap,0.8898346137320029,neglog10,E-value (-log10)
eval1e-5,IDS,ap,0.48464066410306045,neglog10,E-value (-log10)
eval1e-5,GPP,ap,0.2916024551952052,neglog10,E-value (-log10)
eval1e-5,FPP,ap,0.5066336007102126,neglog10,E-value (-log10)
eval1e-5,GGPP,ap,0.20102044252920206,neglog10,E-value (-log10)
eval1e-5,GFPP,ap,0.06781342382810966,neglog10,E-value (-log10)
eval1e-5,CPP,ap,0.10420143358981457,neglog10,E-value (-log10)
eval1e-5,EDSQ,ap,0.9122807017543859,neglog10,E-value (-log10)
eval1e-5,2xFPP,ap,0.8233333333333335,neglog10,E-value (-log10)
eval1e-5,2xGGPP,ap,0.7266666666666667,neglog10,E-value (-log10)
eval1e-50,TPS,ap,0.8138051925608167,neglog10,E-value (-log10)
eval1e-50,IDS,ap,0.9420790068629286,neglog10,E-value (-log10)
eval1e-50,GPP,ap,0.2640048665078871,neglog10,E-value (-log10)
eval1e-50,FPP,ap,0.5430588997695215,neglog10,E-value (-log10)
eval1e-50,GGPP,ap,0.16144925757021406,neglog10,E-value (-log10)
eval1e-50,GFPP,ap,0.08752111244270157,neglog10,E-value (-log10)
eval1e-50,CPP,ap,0.10002638878951738,neglog10,E-value (-log10)
eval1e-50,EDSQ,ap,0.8690426065162906,neglog10,E-value (-log10)
eval1e-50,2xFPP,ap,0.5752504573424247,neglog10,E-value (-log10)
eval1e-50,2xGGPP,ap,0.5835893859040775,neglog10,E-value (-log10)
eval1e-70,TPS,ap,0.753818312937646,neglog10,E-value (-log10)
eval1e-70,IDS,ap,0.9052606420255801,neglog10,E-value (-log10)
eval1e-70,GPP,ap,0.30813160135545986,neglog10,E-value (-log10)
eval1e-70,FPP,ap,0.5356885955175708,neglog10,E-value (-log10)
eval1e-70,GGPP,ap,0.13695111566256807,neglog10,E-value (-log10)
eval1e-70,GFPP,ap,0.09873123865157209,neglog10,E-value (-log10)
eval1e-70,CPP,ap,0.10074596409981992,neglog10,E-value (-log10)
eval1e-70,EDSQ,ap,0.9290426065162907,neglog10,E-value (-log10)
eval1e-70,2xFPP,ap,0.5752504573424247,neglog10,E-value (-log10)
eval1e-70,2xGGPP,ap,0.6335893859040775,neglog10,E-value (-log10)
eval1e-90,TPS,ap,0.6345567550115518,neglog10,E-value (-log10)
eval1e-90,IDS,ap,0.796714562196394,neglog10,E-value (-log10)
eval1e-90,GPP,ap,0.296366839892961,neglog10,E-value (-log10)
eval1e-90,FPP,ap,0.499832963436046,neglog10,E-value (-log10)
eval1e-90,GGPP,ap,0.10801405219466369,neglog10,E-value (-log10)
eval1e-90,GFPP,ap,0.11586730391147773,neglog10,E-value (-log10)
eval1e-90,CPP,ap,0.11812647379527248,neglog10,E-value (-log10)
eval1e-90,EDSQ,ap,0.9290426065162907,neglog10,E-value (-log10)
eval1e-90,2xFPP,ap,0.5752504573424247,neglog10,E-value (-log10)
eval1e-90,2xGGPP,ap,0.40050369325970525,neglog10,E-value (-log10)
eval1e0,TPS,ap,0.8959216729274617,neglog10,E-value (-log10)
eval1e0,IDS,ap,0.45933619291775807,neglog10,E-value (-log10)
eval1e0,GPP,ap,0.29542472327196156,neglog10,E-value (-log10)
eval1e0,FPP,ap,0.5067495541376215,neglog10,E-value (-log10)
eval1e0,GGPP,ap,0.20144331078026675,neglog10,E-value (-log10)
eval1e0,GFPP,ap,0.06731181618037937,neglog10,E-value (-log10)
eval1e0,CPP,ap,0.10742814449975566,neglog10,E-value (-log10)
eval1e0,EDSQ,ap,0.9122807017543859,neglog10,E-value (-log10)
eval1e0,2xFPP,ap,0.8388888888888889,neglog10,E-value (-log10)
eval1e0,2xGGPP,ap,0.74,neglog10,E-value (-log10)
