classifier_a,classifier_b,class,metric,ap_type,value
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GFPP,ap,pooled_oof,0.040761089931645844
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GFPP,ap,pooled_oof,0.014481980544706508
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,GFPP,roc_auc,pooled_oof,-0.015572538773759415
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,GFPP,roc_auc,pooled_oof,-0.006392616647321492
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,GFPP,roc_auc,pooled_oof,-0.014876980349025404
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GFPP,roc_auc,pooled_oof,-0.015572538773759415
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GFPP,roc_auc,pooled_oof,-0.011325285142727126
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,GGPP,ap,pooled_oof,0.02506631615907451
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,GGPP,ap,pooled_oof,0.045888370615069674
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,GGPP,ap,pooled_oof,0.022652178144239365
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GGPP,ap,pooled_oof,0.02506631615907451
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GGPP,ap,pooled_oof,0.03384526807919064
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,GGPP,roc_auc,pooled_oof,-0.0006788601392051508
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,GGPP,roc_auc,pooled_oof,0.01143177065451495
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,GGPP,roc_auc,pooled_oof,0.00331549049595814
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GGPP,roc_auc,pooled_oof,-0.0006788601392051508
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GGPP,roc_auc,pooled_oof,0.0050961328381037285
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,GPP,ap,pooled_oof,0.025385539112258493
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,GPP,ap,pooled_oof,0.008774250283887897
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,GPP,ap,pooled_oof,0.0031901411504117183
