classifier,ap_type,metric,category,value,class,category_name
BLAST,pooled_oof,roc_auc,Bacteria,0.9995599974856999,2xFPP,Kingdom
BLAST,pooled_oof,ap,Fungi,1.0,2xFPP,Kingdom
BLAST,pooled_oof,roc_auc,Fungi,1.0,2xFPP,Kingdom
BLAST,pooled_oof,ap,Plants,0.42468545100124044,2xFPP,Kingdom
BLAST,pooled_oof,roc_auc,Plants,0.9948843271423916,2xFPP,Kingdom
BLAST,pooled_oof,ap,Bacteria,1.0,2xGGPP,Kingdom
BLAST,pooled_oof,roc_auc,Bacteria,1.0,2xGGPP,Kingdom
BLAST,pooled_oof,ap,Fungi,1.0,2xGGPP,Kingdom
BLAST,pooled_oof,roc_auc,Fungi,1.0,2xGGPP,Kingdom
BLAST,pooled_oof,ap,Plants,0.9005834305717619,2xGGPP,Kingdom
BLAST,pooled_oof,roc_auc,Plants,0.9499413145539907,2xGGPP,Kingdom
BLAST,pooled_oof,ap,Bacteria,0.0013192612137203166,CPP,Kingdom
BLAST,pooled_oof,roc_auc,Bacteria,0.5,CPP,Kingdom
BLAST,pooled_oof,ap,Fungi,0.5977777777777777,CPP,Kingdom
BLAST,pooled_oof,roc_auc,Fungi,0.9984900480439258,CPP,Kingdom
BLAST,pooled_oof,ap,Plants,0.6360231100825834,CPP,Kingdom
BLAST,pooled_oof,roc_auc,Plants,0.9646588055954088,CPP,Kingdom
BLAST,pooled_oof,ap,Animals,1.0,EDSQ,Kingdom
BLAST,pooled_oof,roc_auc,Animals,1.0,EDSQ,Kingdom
BLAST,pooled_oof,ap,Fungi,0.8756839945280438,EDSQ,Kingdom
BLAST,pooled_oof,roc_auc,Fungi,0.9375,EDSQ,Kingdom
BLAST,pooled_oof,ap,Plants,0.9543438640460801,EDSQ,Kingdom
BLAST,pooled_oof,roc_auc,Plants,0.9990280187648609,EDSQ,Kingdom
BLAST,pooled_oof,ap,Protists,1.0,EDSQ,Kingdom
BLAST,pooled_oof,roc_auc,Protists,1.0,EDSQ,Kingdom
BLAST,pooled_oof,ap,Animals,0.4929445816231837,FPP,Kingdom
BLAST,pooled_oof,roc_auc,Animals,0.8576053442959918,FPP,Kingdom
BLAST,pooled_oof,ap,Bacteria,0.5297612142046175,FPP,Kingdom
BLAST,pooled_oof,roc_auc,Bacteria,0.9549595061493596,FPP,Kingdom
BLAST,pooled_oof,ap,Fungi,0.9087180115570871,FPP,Kingdom
BLAST,pooled_oof,roc_auc,Fungi,0.9695864937607047,FPP,Kingdom
BLAST,pooled_oof,ap,Plants,0.7240625012342407,FPP,Kingdom
BLAST,pooled_oof,roc_auc,Plants,0.9289689066416041,FPP,Kingdom
BLAST,pooled_oof,ap,Protists,0.820494315373208,FPP,Kingdom
BLAST,pooled_oof,roc_auc,Protists,0.9381734675852322,FPP,Kingdom
BLAST,pooled_oof,ap,Viruses,0.16666666666666666,FPP,Kingdom
BLAST,pooled_oof,roc_auc,Viruses,0.5,FPP,Kingdom
BLAST,pooled_oof,ap,Animals,0.0005073566717402334,GFPP,Kingdom
BLAST,pooled_oof,roc_auc,Animals,0.5,GFPP,Kingdom
BLAST,pooled_oof,ap,Bacteria,0.2233530175482682,GFPP,Kingdom
