classifier_a,classifier_b,class,metric,ap_type,value
PLM_Domains,PFAM,TPS,roc_auc,pooled_oof,0.011394289423024895
PLM_Domains,SUPFAM,TPS,roc_auc,pooled_oof,0.018892042056598335
PLM_Domains,CLEAN,TPS,roc_auc,pooled_oof,0.006066040152946761
PLM_Domains,BLAST,Substrate_mAP,ap,pooled_oof,0.12626076471142378
PLM_Domains,BLAST,Substrate_mAP,roc_auc,pooled_oof,0.029439476991791738
PLM_Domains,CLEAN,Substrate_mAP,ap,pooled_oof,0.21752276098625353
PLM_Domains,CLEAN,Substrate_mAP,roc_auc,pooled_oof,0.1213234574430022
PLM_Domains,Foldseek,Substrate_mAP,ap,pooled_oof,0.1319518860827107
PLM_Domains,Foldseek,Substrate_mAP,roc_auc,pooled_oof,0.041253996378158186
PLM_Domains,HMM,Substrate_mAP,ap,pooled_oof,0.22933843150284758
PLM_Domains,HMM,Substrate_mAP,roc_auc,pooled_oof,0.08216970906151255
PLM_Domains,BLAST,Overall_mAP,ap,pooled_oof,0.10337176663859253
PLM_Domains,BLAST,Overall_mAP,roc_auc,pooled_oof,0.024063973163378317
PLM_Domains,CLEAN,Overall_mAP,ap,pooled_oof,0.20582003879883515
PLM_Domains,CLEAN,Overall_mAP,roc_auc,pooled_oof,0.11121480620475457
PLM_Domains,Foldseek,Overall_mAP,ap,pooled_oof,0.11046923693428445
PLM_Domains,Foldseek,Overall_mAP,roc_auc,pooled_oof,0.0344226622184323
PLM_Domains,HMM,Overall_mAP,ap,pooled_oof,0.19782453064757988
PLM_Domains,HMM,Overall_mAP,roc_auc,pooled_oof,0.070138740298441
