classifier,class,metric,ap_type,point,ci_low,ci_high,method,ci_method
Foldseek,GFPP,ap,pooled_oof,0.4645782947170007,0.2444243550338273,0.6494405796521371,bca,bca
Foldseek,GFPP,roc_auc,pooled_oof,0.8645153624221663,0.7279652598044859,0.9330647432554261,bca,bca
Foldseek,GGPP,ap,pooled_oof,0.5256632947197883,0.40235519532907515,0.6855604280865879,bca,bca
Foldseek,GGPP,roc_auc,pooled_oof,0.8555317347607603,0.8057613942904801,0.9062143427742864,bca,bca
Foldseek,GPP,ap,pooled_oof,0.5556041104638092,0.33411169436616855,0.7498183456496773,bca,bca
Foldseek,GPP,roc_auc,pooled_oof,0.9214260351300715,0.8657891531182352,0.9614608723925795,bca,bca
Foldseek,IDS,ap,pooled_oof,0.9421372714485081,0.8490260247696746,0.9812424177597234,bca,bca
Foldseek,IDS,roc_auc,pooled_oof,0.985735954742827,0.9332381152347702,0.9998193362678166,bca,bca
Foldseek,Overall_mAP,ap,pooled_oof,0.7378898074728771,0.6917325514865231,0.780858972852966,bca,bca
Foldseek,Overall_mAP,roc_auc,pooled_oof,0.9519765500689934,0.9359793416035369,0.9679410181112168,bca,bca
Foldseek,Substrate_mAP,ap,pooled_oof,0.6797038664100826,0.6237910742408439,0.7321576672954803,bca,bca
Foldseek,Substrate_mAP,roc_auc,pooled_oof,0.9417677048569847,0.9208164776742132,0.9602036469410844,bca,bca
Foldseek,TPS,ap,pooled_oof,0.9991298719996023,0.997918805251563,0.9996078036781308,bca,bca
Foldseek,TPS,roc_auc,pooled_oof,0.999887907091228,0.9997187055293476,0.9999453519340361,bca,bca
HMM,2xFPP,ap,pooled_oof,0.8565212049732174,0.4616181798416576,1.0,bca,bca
HMM,2xFPP,roc_auc,pooled_oof,0.9997983730793298,0.9988825806664062,0.9999577593223458,bca,bca
HMM,2xGGPP,ap,pooled_oof,0.5771459777544969,0.21859241611213334,0.9261955834123905,bca,bca
HMM,2xGGPP,roc_auc,pooled_oof,0.9994483837384561,0.9984444935600403,0.9998291303088315,bca,bca
HMM,CPP,ap,pooled_oof,0.5867902568095991,0.3008899601422965,0.7852839128393272,bca,bca
HMM,CPP,roc_auc,pooled_oof,0.9029698581560284,0.7543365232614794,0.9639185535373271,bca,bca
HMM,EDSQ,ap,pooled_oof,0.966507735956044,0.8668400765651235,1.0,bca,bca
HMM,EDSQ,roc_auc,pooled_oof,0.9942295764664186,0.9375,1.0,bca,bca
HMM,FPP,ap,pooled_oof,0.5218108722448348,0.3935924486748508,0.651519220880252,bca,bca
HMM,FPP,roc_auc,pooled_oof,0.9261631686936739,0.8989001537119897,0.9479658231691386,bca,bca
HMM,GFPP,ap,pooled_oof,0.5056845206352135,0.28576408056023767,0.6749782899666051,bca,bca
HMM,GFPP,roc_auc,pooled_oof,0.8110776373619207,0.6978939938269821,0.8955967850579515,bca,bca
HMM,GGPP,ap,pooled_oof,0.2756625807759129,0.13307225810267764,0.49995543148098665,bca,bca
HMM,GGPP,roc_auc,pooled_oof,0.6790438996223352,0.6007554405312379,0.7786837018774997,bca,bca
HMM,GPP,ap,pooled_oof,0.368415418770247,0.19933238552909666,0.5894634011833741,bca,bca
HMM,GPP,roc_auc,pooled_oof,0.8940850402708801,0.8234619782393887,0.9433095263537157,bca,bca
HMM,IDS,ap,pooled_oof,0.9407589482447621,0.8353233425922993,0.9785080922866937,bca,bca
HMM,IDS,roc_auc,pooled_oof,0.9859198206455988,0.933959586645008,0.9998245705686596,bca,bca
HMM,Overall_mAP,ap,pooled_oof,0.6505345137595817,0.6046501215615372,0.7160993378018107,bca,bca
HMM,Overall_mAP,roc_auc,pooled_oof,0.9162604719889845,0.8959035747774295,0.9341267246715721,bca,bca
HMM,Substrate_mAP,ap,pooled_oof,0.5823173209899457,0.5260279015607556,0.6593387675912882,bca,bca
HMM,Substrate_mAP,roc_auc,pooled_oof,0.9008519921736303,0.8754328524110079,0.9221607368026435,bca,bca
HMM,TPS,ap,pooled_oof,0.9060476214314893,0.8462924357683664,0.9432195234746104,bca,bca
HMM,TPS,roc_auc,pooled_oof,0.9698689618552041,0.9556128626132963,0.9799920368030448,bca,bca
PFAM,TPS,ap,pooled_oof,0.9754149184303245,0.9596420755008597,0.9844540949486498,bca,bca
PFAM,TPS,roc_auc,pooled_oof,0.9885570018998745,0.9811770044619581,0.9925206275952968,bca,bca
PLM_Domains,2xFPP,ap,pooled_oof,0.9295397269361716,0.5590942376753655,1.0,bca,bca
PLM_Domains,2xFPP,roc_auc,pooled_oof,0.9998655820528864,0.9990782426550201,1.0,bca,bca
PLM_Domains,2xGGPP,ap,pooled_oof,0.8444915577639256,0.38901469880387596,1.0,bca,bca
PLM_Domains,2xGGPP,roc_auc,pooled_oof,0.999544204403607,0.9980463601525353,1.0,bca,bca
PLM_Domains,CPP,ap,pooled_oof,0.7042796113205496,0.39158628296652814,0.8402150962739958,bca,bca
PLM_Domains,CPP,roc_auc,pooled_oof,0.995767315527388,0.9898928774774902,0.9980269568775907,bca,bca
PLM_Domains,EDSQ,ap,pooled_oof,0.9855131772543191,0.8095257556675713,0.9866426885520039,bca,bca
PLM_Domains,EDSQ,roc_auc,pooled_oof,0.9999194496802153,0.9996471341963,1.0,bca,bca
PLM_Domains,FPP,ap,pooled_oof,0.9092629445937916,0.8297823263609186,0.9476686765575473,bca,bca
