classifier,class,metric,ap_type,value
PLM_Domains,TPS,ap,pooled_oof,0.9996510376420724
PLM_Domains,TPS,roc_auc,pooled_oof,0.9999512913228994
BLAST,Substrate_mAP,ap,pooled_oof,0.6853949877813695
BLAST,Substrate_mAP,roc_auc,pooled_oof,0.9535822242433512
CLEAN,Substrate_mAP,ap,pooled_oof,0.5941329915065398
CLEAN,Substrate_mAP,roc_auc,pooled_oof,0.8616982437921408
Foldseek,Substrate_mAP,ap,pooled_oof,0.6797038664100826
Foldseek,Substrate_mAP,roc_auc,pooled_oof,0.9417677048569847
HMM,Substrate_mAP,ap,pooled_oof,0.5823173209899457
HMM,Substrate_mAP,roc_auc,pooled_oof,0.9008519921736303
PLM_Domains,Substrate_mAP,ap,pooled_oof,0.8116557524927933
PLM_Domains,Substrate_mAP,roc_auc,pooled_oof,0.9830217012351429
BLAST,Overall_mAP,ap,pooled_oof,0.744987277768569
BLAST,Overall_mAP,roc_auc,pooled_oof,0.9623352391240474
CLEAN,Overall_mAP,ap,pooled_oof,0.6425390056083264
CLEAN,Overall_mAP,roc_auc,pooled_oof,0.8751844060826711
Foldseek,Overall_mAP,ap,pooled_oof,0.7378898074728771
Foldseek,Overall_mAP,roc_auc,pooled_oof,0.9519765500689934
HMM,Overall_mAP,ap,pooled_oof,0.6505345137595817
HMM,Overall_mAP,roc_auc,pooled_oof,0.9162604719889845
PLM_Domains,Overall_mAP,ap,pooled_oof,0.8483590444071616
PLM_Domains,Overall_mAP,roc_auc,pooled_oof,0.9863992122874257
