classifier,class,metric,ap_type,category_name,category,point,ci_low,ci_high,ci_method
BLAST,GGPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.9173318130939767,0.8605203467748755,0.9608733331609876,percentile
BLAST,GGPP,roc_auc,pooled_oof,Kingdom,Fungi,0.9194197346960817,0.8502132429177351,0.9676771102076427,percentile
BLAST,GGPP,roc_auc,pooled_oof,Kingdom,Plants,0.9477472851874558,0.8750747453705402,0.9773785732897788,percentile
BLAST,GGPP,roc_auc,pooled_oof,Kingdom,Protists,0.8196581196581196,0.473921016567985,0.9917969304156617,percentile
BLAST,GPP,ap,pooled_oof,Kingdom,Animals,0.07875787753339236,0.005378188617078306,0.26116885342272445,percentile
BLAST,GPP,ap,pooled_oof,Kingdom,Bacteria,0.0010683772878512035,0.000366427322410238,0.0021323839774344453,percentile
BLAST,GPP,ap,pooled_oof,Kingdom,Fungi,0.004010695187165776,0.0006918261568723169,0.009380929791271343,percentile
BLAST,GPP,ap,pooled_oof,Kingdom,Plants,0.6519493908629489,0.3740242666124195,0.8137497387491184,percentile
BLAST,GPP,ap,pooled_oof,Kingdom,Protists,0.09065372829417773,0.011689145793192038,0.40944105890353355,percentile
BLAST,GPP,ap,pooled_oof,Kingdom,Viruses,0.16666666666666666,0.0625,0.375,percentile
BLAST,GPP,roc_auc,pooled_oof,Kingdom,Animals,0.5881481208185755,0.4991976988050795,0.7838070711997265,percentile
BLAST,GPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.49990940387751404,0.49970047025837366,0.5,percentile
BLAST,GPP,roc_auc,pooled_oof,Kingdom,Fungi,0.4947257383966245,0.48896587481146303,0.49864928201218955,percentile
BLAST,GPP,roc_auc,pooled_oof,Kingdom,Plants,0.928534307881369,0.8761626587335558,0.9598498904733231,percentile
BLAST,GPP,roc_auc,pooled_oof,Kingdom,Protists,0.6,0.4897837343892781,0.7934415509259259,percentile
BLAST,GPP,roc_auc,pooled_oof,Kingdom,Viruses,0.5,0.5,0.5,percentile
BLAST,IDS,ap,pooled_oof,Kingdom,Animals,0.8787481391879108,0.3333333333333333,1.0,percentile
BLAST,IDS,ap,pooled_oof,Kingdom,Archaea,1.0,0.9999999999999999,1.0,percentile
BLAST,IDS,ap,pooled_oof,Kingdom,Bacteria,0.9785148596866612,0.9063580526639254,1.0,percentile
BLAST,IDS,ap,pooled_oof,Kingdom,Fungi,0.9961394046783456,0.9839781352019248,1.0,percentile
BLAST,IDS,ap,pooled_oof,Kingdom,Plants,0.996551724137931,0.9835164835164835,1.0,percentile
BLAST,IDS,ap,pooled_oof,Kingdom,Protists,1.0,1.0,1.0,percentile
BLAST,IDS,ap,pooled_oof,Kingdom,Viruses,1.0,1.0,1.0,percentile
BLAST,IDS,roc_auc,pooled_oof,Kingdom,Animals,0.9992430036530087,0.9974757055965364,1.0,percentile
BLAST,IDS,roc_auc,pooled_oof,Kingdom,Archaea,1.0,1.0,1.0,percentile
BLAST,IDS,roc_auc,pooled_oof,Kingdom,Bacteria,0.9999310743479833,0.9997215522223903,1.0,percentile
BLAST,IDS,roc_auc,pooled_oof,Kingdom,Fungi,0.999719432574186,0.9989427120537021,1.0,percentile
BLAST,IDS,roc_auc,pooled_oof,Kingdom,Plants,0.9999692849537227,0.999797918856582,1.0,percentile
BLAST,IDS,roc_auc,pooled_oof,Kingdom,Protists,1.0,1.0,1.0,percentile
BLAST,IDS,roc_auc,pooled_oof,Kingdom,Viruses,1.0,1.0,1.0,percentile
BLAST,TPS,ap,pooled_oof,Kingdom,Animals,0.7601780736124817,0.47894278235812127,0.9716596180985715,percentile
BLAST,TPS,ap,pooled_oof,Kingdom,Bacteria,0.9710587374178876,0.9197134130239213,0.999692799046672,percentile
BLAST,TPS,ap,pooled_oof,Kingdom,Fungi,0.9830344320115142,0.9380168191151348,0.9990361323040384,percentile
BLAST,TPS,ap,pooled_oof,Kingdom,Plants,0.9999758481216592,0.9997598802948312,1.0,percentile
BLAST,TPS,ap,pooled_oof,Kingdom,Protists,1.0,1.0,1.0,percentile
BLAST,TPS,ap,pooled_oof,Kingdom,Viruses,1.0,1.0,1.0,percentile
BLAST,TPS,roc_auc,pooled_oof,Kingdom,Animals,0.9152709601845643,0.7733888296529112,0.9995062884280524,percentile
BLAST,TPS,roc_auc,pooled_oof,Kingdom,Bacteria,0.985181879865101,0.9588027230012957,0.9999910596877439,percentile
BLAST,TPS,roc_auc,pooled_oof,Kingdom,Fungi,0.9952470355424436,0.9860839560809965,0.9998235521796416,percentile
BLAST,TPS,roc_auc,pooled_oof,Kingdom,Plants,0.9999778223030789,0.9998187947013994,1.0,percentile
BLAST,TPS,roc_auc,pooled_oof,Kingdom,Protists,1.0,1.0,1.0,percentile
BLAST,TPS,roc_auc,pooled_oof,Kingdom,Viruses,1.0,1.0,1.0,percentile
