classifier_a,classifier_b,class,metric,ap_type,p_raw,p_adjusted,adjustment
PLM_Domains,CLEAN,Overall_mAP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,Foldseek,Overall_mAP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,HMM,Overall_mAP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,BLAST,Substrate_mAP,ap,pooled_oof,0.02,0.02,holm
PLM_Domains,CLEAN,Substrate_mAP,ap,pooled_oof,0.001,0.004,holm
PLM_Domains,Foldseek,Substrate_mAP,ap,pooled_oof,0.006,0.012,holm
PLM_Domains,HMM,Substrate_mAP,ap,pooled_oof,0.001,0.004,holm
PLM_Domains,BLAST,Substrate_mAP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,CLEAN,Substrate_mAP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,Foldseek,Substrate_mAP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,HMM,Substrate_mAP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,BLAST,TPS,ap,pooled_oof,0.001,0.006,holm
PLM_Domains,CLEAN,TPS,ap,pooled_oof,0.001,0.006,holm
PLM_Domains,Foldseek,TPS,ap,pooled_oof,0.094,0.094,holm
PLM_Domains,HMM,TPS,ap,pooled_oof,0.001,0.006,holm
PLM_Domains,PFAM,TPS,ap,pooled_oof,0.001,0.006,holm
PLM_Domains,SUPFAM,TPS,ap,pooled_oof,0.001,0.006,holm
PLM_Domains,BLAST,TPS,roc_auc,pooled_oof,0.001,0.006,holm
PLM_Domains,CLEAN,TPS,roc_auc,pooled_oof,0.001,0.006,holm
PLM_Domains,Foldseek,TPS,roc_auc,pooled_oof,0.138,0.138,holm
PLM_Domains,HMM,TPS,roc_auc,pooled_oof,0.001,0.006,holm
PLM_Domains,PFAM,TPS,roc_auc,pooled_oof,0.001,0.006,holm
PLM_Domains,SUPFAM,TPS,roc_auc,pooled_oof,0.001,0.006,holm
