classifier,target_class,family,lofo_log_loss,lofo_ece,eligible,ineligible_reason,selected
PLM,CPP,identity,0.029526129912141923,0.01667683147934267,False,raw-score reliability has 7 bin(s) outside Wilson 95% CI (n_bins_eff=6),False
PLM,CPP,temperature,0.015295004096070644,0.0013652678419479518,True,,True
PLM,CPP,logit_platt,0.01693781017834687,0.0012009719081330487,True,,False
PLM,CPP,beta,0.015183047721399388,0.0007585005680984635,True,,False
PLM,GFPP,identity,0.025196751345863716,0.014066127619386422,False,raw-score reliability has 4 bin(s) outside Wilson 95% CI (n_bins_eff=4),False
PLM,GFPP,temperature,0.015479455593462699,0.0009648549603313137,True,,True
PLM,GFPP,logit_platt,0.01635107186038549,0.0010422902933640101,True,,False
PLM,GFPP,beta,0.017177974136316294,0.0010136702797808447,True,,False
PLM,2xFPP,identity,0.005950651313272924,0.003308306423676914,False,raw-score reliability has 2 bin(s) outside Wilson 95% CI (n_bins_eff=2),False
PLM,2xFPP,temperature,0.0025006405486805426,0.0007675836193068578,True,,True
PLM,2xFPP,logit_platt,0.0018332282851571972,4.488427259611555e-06,True,,False
PLM,2xFPP,beta,0.001831952190161522,2.016792950167643e-06,True,,False
PLM,2xGGPP,identity,0.007188876486753747,0.0037403882685803644,False,raw-score reliability has 2 bin(s) outside Wilson 95% CI (n_bins_eff=2),False
PLM,2xGGPP,temperature,0.0038047290595764377,0.0008875905869190015,True,,False
PLM,2xGGPP,logit_platt,0.0019928985848774003,9.531845710244659e-06,True,,True
PLM,2xGGPP,beta,0.001981718553724455,3.506466464351402e-06,True,,False
