classifier,target_class,held_out_fold,family,a,b,c,T,n_train,n_pos_train
PLM,GGPP,3,temperature,,,,0.40721224814519397,8797,193
PLM,GGPP,4,temperature,,,,0.42996988460496804,9166,178
PLM,EDSQ,0,temperature,,,,0.599799939622066,9049,85
PLM,EDSQ,1,temperature,,,,0.6287450284187699,9210,43
PLM,EDSQ,2,temperature,,,,0.5429811370132676,9274,84
PLM,EDSQ,3,temperature,,,,0.6115209799471614,8797,86
PLM,EDSQ,4,temperature,,,,0.519281916514967,9166,54
PLM,CPP,0,temperature,,,,0.5630737738358182,9049,89
PLM,CPP,1,temperature,,,,0.5862134776312745,9210,59
PLM,CPP,2,temperature,,,,0.5443732841079878,9274,85
PLM,CPP,3,temperature,,,,0.5976766763996849,8797,72
PLM,CPP,4,temperature,,,,0.5819113227402362,9166,71
PLM,GFPP,0,temperature,,,,0.6246801818077174,9049,44
PLM,GFPP,1,temperature,,,,0.6204429476305842,9210,55
PLM,GFPP,2,temperature,,,,0.49605548295892704,9274,48
PLM,GFPP,3,temperature,,,,0.63143360074777,8797,45
PLM,GFPP,4,temperature,,,,0.624800231552677,9166,52
PLM,2xFPP,0,temperature,,,,0.6134429748451571,9049,12
PLM,2xFPP,1,temperature,,,,0.5982859839384227,9210,11
PLM,2xFPP,2,temperature,,,,0.5896623390094798,9274,18
PLM,2xFPP,3,temperature,,,,0.5437031072793129,8797,17
PLM,2xFPP,4,temperature,,,,0.6220086032020204,9166,18
PLM,2xGGPP,0,logit_platt,3.263046405831718,6.182309395268055,,,9049,16
PLM,2xGGPP,1,logit_platt,4.133500399261691,6.965076866825315,,,9210,15
PLM,2xGGPP,2,logit_platt,2.893068632214272,4.3623680186539255,,,9274,9
PLM,2xGGPP,3,logit_platt,3.3098259074797562,5.601043386471301,,,8797,14
PLM,2xGGPP,4,logit_platt,3.463717046949399,5.97127045551041,,,9166,14
