domain_configuration,n_leaves,color
β + α1D,555,#1f77b4
α1G,261,#aec7e8
γ + β + α1D,153,#ff7f0e
ε + δ2,96,#ffbb78
α3B,82,#2ca02c
α1B + α3B,62,#98df8a
α3A,46,#d62728
α4B,18,#ff9896
α1I,17,#9467bd
α4A,17,#c5b0d5
α1E,17,#8c564b
γ + δ1 + α1C,9,#c49c94
γ + δ1,8,#e377c2
α2A,7,#f7b6d2
α1F,6,#7f7f7f
α1D,4,#c7c7c7
α1A,3,#bcbd22
α1H,3,#dbdb8d
α4B + ζ,2,#17becf
α1B,2,#9edae5
α1G + α1G,2,#393b79
α1C,1,#5254a3
γ + δ1 + α3B,1,#6b6ecf
δ3,1,#9c9ede
γ + δ1 + α1D,1,#637939
