Track,Model,TPS_Type,AP_mean,AP_sem
A,Blastp,sesq,0.9711739881653934,0.006725447885059692
A,Blastp,mono,0.7954527711475506,0.0844173141583168
A,Blastp,di-int,0.8825757575757576,0.0492424242424242
A,Blastp,sester,0.7422578046641015,0.07731318241442578
A,Blastp,di,0.7987383788601269,0.07523364019815963
A,Blastp,tri,0.5718672949078314,0.14907542626889791
A,Blastp,macro_avg,0.7936776658867936,0.055160499074621325
A,CLEAN,sesq,0.8554896388319306,0.029042769953197864
A,CLEAN,mono,0.6984845788801954,0.07304695673745507
A,CLEAN,di-int,0.5917258331010682,0.1822020235772586
A,CLEAN,sester,0.40334127875097775,0.05244853705210714
A,CLEAN,di,0.6526832662209566,0.08409433749161936
A,CLEAN,tri,0.5610544370924332,0.10923875422219116
A,CLEAN,macro_avg,0.6271298388129269,0.06153410891385223
A,CLEANEc,sesq,0.8434045595428449,0.032692106573581466
A,CLEANEc,mono,0.6792575516624334,0.07759648425074597
A,CLEANEc,di-int,0.5925474968539035,0.18302368733009403
A,CLEANEc,sester,0.09056946625884946,0.031961510739114574
A,CLEANEc,di,0.6221433022133843,0.09622089354599776
A,CLEANEc,tri,0.5942720310849298,0.1121167236360633
A,CLEANEc,macro_avg,0.5703657346027243,0.1033370770762192
A,CLEANProp,sesq,0.770437844243549,0.04853579375868766
A,CLEANProp,mono,0.557166780583553,0.093888207721508
A,CLEANProp,di-int,0.43221941992433793,0.23991172761664561
A,CLEANProp,sester,0.23810449957947855,0.04627751139177942
A,CLEANProp,di,0.4513768793426987,0.09662017195273426
A,CLEANProp,tri,0.3451585186682552,0.15446025779844405
A,CLEANProp,macro_avg,0.46574399039031206,0.07503052170383377
A,Foldseek,sesq,0.9528222579073761,0.012254430119513156
A,Foldseek,mono,0.8756116849736835,0.015429749204218354
A,Foldseek,di-int,0.8825757575757576,0.0492424242424242
A,Foldseek,sester,0.7356039907269415,0.09752213942506258
A,Foldseek,di,0.8084085796661766,0.05132387428355502
A,Foldseek,tri,0.5090945530351418,0.12533043347381223
A,Foldseek,macro_avg,0.7940194706475129,0.06442552653097085
A,HMM,sesq,0.9768217466472185,0.009322080860907269
A,HMM,mono,0.927993461242673,0.03654859596297076
A,HMM,di-int,0.47740608724015926,0.4748973065075952
A,HMM,sester,0.7523569023569023,0.12090701171272118
A,HMM,di,0.7921987704984053,0.09527476381578925
A,HMM,tri,0.5860802217508185,0.16273853657472442
A,HMM,macro_avg,0.7521428649560296,0.07875397386189492
A,PlmRF,sesq,0.9855045714837116,0.006870784138824955
A,PlmRF,mono,0.9657771438109201,0.016053814377166648
