track,model,tps_type,fold,n_pos,n_neg,ap,pos_mean,pos_median,pos_min,pos_max,pos_frac_zero,neg_mean,neg_median,neg_max,neg_frac_nonzero
A,CLEAN,di-int,0,41,2002,0.8265383595541055,0.990768292682927,0.9967,0.8336,0.9989,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,ggpps,0,21,2002,0.679880066234297,0.9954190476190476,0.9979,0.9679,0.9987,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,sester,0,9,2002,0.42751661918328593,0.9829,0.9974,0.8654,0.9986,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,di,0,56,2002,0.8059145113676267,0.8675107142857144,0.9943500000000001,0.0,0.9989,0.017857142857142856,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,gfpps,0,3,2002,0.2685185185185185,0.9960666666666667,0.9971,0.9926,0.9985,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,tri,0,8,2002,0.6728238866396761,0.9690124999999999,0.9979,0.8429,0.9989,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,tetra,0,3,2002,0.19266381766381768,0.9896666666666666,0.9964,0.9758,0.9968,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,sesq,1,49,1988,0.7493602102194236,0.7750326530612246,0.9948,0.0,0.9989,0.061224489795918366,0.006458299798792757,0.0,0.9989,0.01659959758551308
A,CLEAN,ggpps,1,20,1988,0.8010641660970608,0.99779,0.9984,0.9882,0.9989,0.0,0.006458299798792757,0.0,0.9989,0.01659959758551308
A,CLEAN,di,1,36,1988,0.7662571934583153,0.8393333333333333,0.99745,0.0,0.9989,0.027777777777777776,0.006458299798792757,0.0,0.9989,0.01659959758551308
A,CLEAN,tri,1,5,1988,0.3805017561465128,0.7985800000000001,0.9979,0.0,0.9988,0.2,0.006458299798792757,0.0,0.9989,0.01659959758551308
A,CLEAN,sester,1,13,1988,0.5547570563958524,0.9776230769230769,0.9965,0.8562,0.9989,0.0,0.006458299798792757,0.0,0.9989,0.01659959758551308
A,CLEAN,fpps,1,11,1988,0.5343706353064641,0.9761545454545455,0.9978,0.7742,0.9987,0.0,0.006458299798792757,0.0,0.9989,0.01659959758551308
A,CLEAN,mono,1,13,1988,0.6230072463768115,0.9584538461538461,0.9982,0.5518,0.9988,0.0,0.006458299798792757,0.0,0.9989,0.01659959758551308
A,CLEAN,gpps,1,14,1988,0.6290335190020064,0.9966642857142857,0.99805,0.987,0.9988,0.0,0.006458299798792757,0.0,0.9989,0.01659959758551308
A,CLEAN,sesq,2,101,1982,0.8441247003128124,0.9230594059405941,0.9898,0.0358,0.9989,0.0,0.0060492936427850655,0.0,0.9988,0.012613521695257316
A,CLEAN,di,2,28,1982,0.7820633999688633,0.9316071428571427,0.9983,0.0,0.9989,0.03571428571428571,0.0060492936427850655,0.0,0.9988,0.012613521695257316
A,CLEAN,mono,2,95,1982,0.871237050018703,0.9649010526315789,0.9962,0.0,0.9989,0.010526315789473684,0.0060492936427850655,0.0,0.9988,0.012613521695257316
A,CLEAN,sesq,3,113,1985,0.9271476070723313,0.931679646017699,0.9962,0.0,0.9989,0.017699115044247787,0.005699798488664988,0.0,0.9989,0.014105793450881612
A,CLEAN,di,3,9,1985,0.7087301587301588,0.8884666666666666,0.9979,0.0259,0.9989,0.0,0.005699798488664988,0.0,0.9989,0.014105793450881612
A,CLEAN,mono,3,86,1985,0.9003314494337477,0.9085174418604653,0.9965999999999999,0.0,0.9989,0.03488372093023256,0.005699798488664988,0.0,0.9989,0.014105793450881612
A,CLEAN,ggpps,3,5,1985,0.519047619047619,0.9938,0.9941,0.9887,0.9983,0.0,0.005699798488664988,0.0,0.9989,0.014105793450881612
