classifier,class,tier,target_type,target_value,lower_bound,achieved_precision,recall,n_above_lower,reachable
PLM,TPS,High Confidence,precision,0.95,0.14435695538057744,0.9528158295281582,0.9968152866242038,1314,True
PLM,TPS,Mid Confidence,precision,0.8,0.09210526315789473,0.8032051282051282,0.9976114649681529,1560,True
PLM,TPS,Low Confidence,precision,0.5,0.049868766404199474,0.5044212218649518,0.9992038216560509,2488,True
PLM,TPS,Very Low Confidence,recall,1.0,0.01,0.17777777777777778,1.0,7065,True
PLM,IDS,Very High Confidence,precision,0.99,0.66,0.991869918699187,0.6740331491712708,123,True
PLM,IDS,High Confidence,precision,0.95,0.18,0.9523809523809523,0.994475138121547,189,True
PLM,IDS,Mid Confidence,precision,0.8,0.0475,0.8181818181818182,0.994475138121547,220,True
PLM,IDS,Low Confidence,precision,0.5,0.03412073490813648,0.5142857142857142,0.994475138121547,350,True
PLM,IDS,Very Low Confidence,recall,1.0,0.03289473684210526,0.49318801089918257,1.0,367,True
PLM,FPP,Very High Confidence,precision,0.99,0.9342105263157895,0.9921259842519685,0.21105527638190955,127,True
PLM,FPP,High Confidence,precision,0.95,0.6351706036745407,0.9504310344827587,0.7386934673366834,464,True
PLM,FPP,Mid Confidence,precision,0.8,0.4409448818897638,0.8024502297090352,0.8777219430485762,653,True
PLM,FPP,Low Confidence,precision,0.5,0.04,0.5042444821731749,0.9949748743718593,1178,True
PLM,FPP,Very Low Confidence,recall,1.0,0.0025,0.07388613861386138,1.0,8080,True
PLM,GPP,Very High Confidence,precision,0.99,0.8787878787878788,1.0,0.06375838926174497,19,True
PLM,GPP,High Confidence,precision,0.95,0.7894736842105263,0.95,0.1912751677852349,60,True
PLM,GPP,Mid Confidence,precision,0.8,0.305,0.8015873015873016,0.6778523489932886,252,True
PLM,GPP,Low Confidence,precision,0.5,0.15485564304461943,0.5,0.825503355704698,492,True
PLM,GPP,Very Low Confidence,recall,1.0,0.010101010101010102,0.16518847006651885,1.0,1804,True
PLM,GGPP,Very High Confidence,precision,0.99,0.8320209973753281,1.0,0.18695652173913044,43,True
PLM,GGPP,High Confidence,precision,0.95,0.7247474747474747,0.9622641509433962,0.2217391304347826,53,True
PLM,GGPP,Mid Confidence,precision,0.8,0.4461942257217848,0.8,0.5217391304347826,150,True
PLM,GGPP,Low Confidence,precision,0.5,0.13486842105263158,0.5,0.9391304347826087,432,True
PLM,GGPP,Very Low Confidence,recall,1.0,0.010101010101010102,0.07266982622432859,1.0,3165,True
PLM,EDSQ,Very High Confidence,precision,0.99,0.9343434343434344,1.0,0.375,33,True
PLM,EDSQ,High Confidence,precision,0.95,0.10855263157894737,0.9560439560439561,0.9886363636363636,91,True
PLM,EDSQ,Mid Confidence,precision,0.8,0.02099737532808399,0.822429906542056,1.0,107,True
PLM,EDSQ,Low Confidence,precision,0.5,0.015151515151515152,0.6285714285714286,1.0,140,True
PLM,EDSQ,Very Low Confidence,recall,1.0,0.02099737532808399,0.822429906542056,1.0,107,True
